Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP	Dosing	lnATP	Temp
E10	2°„C	2°„C	NONE		No Ammonia	654.1255685	Post	6.483299334	2
E11	3°„C	3°„C	NONE		Ammonia	261.3549111	Post	5.565879296	3
E12	UR	0°„C	UR	UR	Ammonia	122.5562578	Post	4.808570172	0
F1	RU	0°„C	RU	RU	Ammonia	82.68855945	Post	4.415081254	0
F2	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	134.3689091	Post	4.90058907	4
F3	4°„C	4°„C	NONE	4°„C	Ammonia	118.1265135	Post	4.771756198	4
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	78.25881519	Post	4.360021477	0
F5	CONTROL	0°„C	NONE	CONTROL	No Ammonia	98.93095505	Post	4.594422183	0
F6	5°„C	5°„C	NONE		Ammonia	231.8232827	Post	5.445975369	5
F7	8°„C	8°„C	NONE		Ammonia	1182.741716	Post	7.07559051	8
F8	2°„C	2°„C	NONE		No Ammonia	104.8372807	Post	4.65240944	2
F9	RU	0°„C	RU	RU	No Ammonia	106.3138621	Post	4.666395682	0
F10	6°„C	6°„C	NONE		Ammonia	97.45437363	Post	4.579384306	6
F11	CONTROL	0°„C	NONE	CONTROL	No Ammonia	156.5176304	Post	5.053168658	0
F12	2°„C	2°„C	NONE		Ammonia	200.8150729	Post	5.302384449	2
G1	2°„C	2°„C	NONE		No Ammonia	206.7213986	Post	5.331371986	2
G2	1°„C	1°„C	NONE		Ammonia	190.479003	Post	5.249541968	1
G3	2°„C	2°„C	NONE		No Ammonia	128.4625834	Post	4.855637682	2
G4	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	125.5094206	Post	4.83238082	4
G5	3°„C	3°„C	NONE		No Ammonia	149.1347233	Post	5.004850081	3
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	156.5176304	Post	5.053168658	0
G7	RU	0°„C	RU	RU	Ammonia	308.6055165	Post	5.732063816	0
G8	CONTROL	0°„C	NONE	CONTROL	No Ammonia	169.8068632	Post	5.134661692	0
G9	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	63.493001	Post	4.150929679	4
G10	2°„C	2°„C	NONE		No Ammonia	115.1733507	Post	4.746438391	2
G11	5°„C	5°„C	NONE		Ammonia	2074.596893	Post	7.637522145	5
G12	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	60.53983817	Post	4.10330163	4
H1	CONTROL	0°„C	NONE	CONTROL	Ammonia	927.2931309	Post	6.83226973	0
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	228.8701199	Post	5.433154681	0
H3	8°„C	8°„C	NONE		No Ammonia	98.93095505	Post	4.594422183	8
H4	4°„C	4°„C	NONE	4°„C	No Ammonia	305.6523537	Post	5.722448357	4
H5	2°„C	2°„C	NONE		No Ammonia	1466.245349	Post	7.290460228	2
H6	UR	0°„C	UR	UR	Ammonia	150.6113047	Post	5.014702377	0
H7	7°„C	7°„C	NONE		Ammonia	425.2554486	Post	6.052690044	7
H8	4°„C	4°„C	NONE	4°„C	Ammonia	881.519107	Post	6.781646677	4
H9	1°„C	1°„C	NONE		Ammonia	220.0106314	Post	5.39367587	1
H10	CONTROL	0°„C	NONE	CONTROL	Ammonia	183.0960959	Post	5.210011129	0
H11	4°„C	4°„C	NONE	4°„C	No Ammonia	472.506054	Post	6.15805056	4
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	431.1617743	Post	6.066483366	0
