Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP	Dosing	lnATP	Temp
B6	7°„C	7°„C	NONE		No Ammonia	7.914476404	Post	2.068693539	7
B7	3°„C	3°„C	NONE		No Ammonia	9.863563877	Post	2.288847551	3
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	8.652767114	Post	2.157879167	0
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	2.273935385	Post	0.82151198	4
B10	8°„C	8°„C	NONE		No Ammonia	2.067213986	Post	0.7262018	8
B11	2°„C	2°„C	NONE		Ammonia	2.746441439	Post	1.010306052	2
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	3.957238202	Post	1.375546358	0
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	6.083515445	Post	1.805582727	0
C2	2°„C	2°„C	NONE		Ammonia	2.1853405	Post	0.781771652	2
C3	4°„C	4°„C	NONE	4°„C	No Ammonia	2.53972004	Post	0.932053854	4
C4	8°„C	8°„C	NONE		Ammonia	0.797353966	Post	-0.226456576	8
C5	2°„C	2°„C	NONE		Ammonia	4.488807513	Post	1.501587079	2
C6	RU	0°„C	RU	RU	No Ammonia	1.978619101	Post	0.682399178	0
C7	2°„C	2°„C	NONE		No Ammonia	0.679227453	Post	-0.386799225	2
C8	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	4.54787077	Post	1.514659161	4
C9	UR	0°„C	UR	UR	No Ammonia	7.205717323	Post	1.974874784	0
C10	4°„C	4°„C	NONE	4°„C	Ammonia	6.17211033	Post	1.82004081	4
C11	7°„C	7°„C	NONE		No Ammonia	1.771897702	Post	0.57205112	7
C12	RU	0°„C	RU	RU	Ammonia	3.543795405	Post	1.265198301	0
D1	RU	0°„C	RU	RU	No Ammonia	1.004075365	Post	0.004067083	0
D2	4°„C	4°„C	NONE	4°„C	Ammonia	2.628314925	Post	0.966342928	4
D3	6°„C	6°„C	NONE		Ammonia	5.315693107	Post	1.670663409	6
D4	2°„C	2°„C	NONE		Ammonia	3.661921918	Post	1.297988124	2
D5	UR	0°„C	UR	UR	Ammonia	5.374756364	Post	1.681713245	0
D6	CONTROL	0°„C	NONE	CONTROL	No Ammonia	4.636465655	Post	1.533952364	0
D7	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	0.708759081	Post	-0.344239611	4
D8	UR	0°„C	UR	UR	No Ammonia	5.758667533	Post	1.750706117	0
D9	6°„C	6°„C	NONE		No Ammonia	1.919555844	Post	0.652093828	6
D10	CONTROL	0°„C	NONE	CONTROL	Ammonia	2.244403756	Post	0.808439898	0
D11	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	0.91548048	Post	-0.088306237	4
D12	4°„C	4°„C	NONE	4°„C	No Ammonia	2.037682358	Post	0.711813063	4
E1	4°„C	4°„C	NONE	4°„C	No Ammonia	3.071289351	Post	1.122097457	4
E2	7°„C	7°„C	NONE		Ammonia	2.096745615	Post	0.740386436	7
E3	UR	0°„C	UR	UR	No Ammonia	2.598783297	Post	0.955043373	0
E4	4°„C	4°„C	NONE	4°„C	Ammonia	3.98676983	Post	1.382981337	4
E5	3°„C	3°„C	NONE		Ammonia	15.06113047	Post	2.712117284	3
E6	RU	0°„C	RU	RU	Ammonia	8.623235485	Post	2.154460361	0
E7	4°„C	4°„C	NONE	4°„C	Ammonia	4.075364716	Post	1.404960244	4
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	4.459275884	Post	1.494986395	0
E9	2°„C	2°„C	NONE		Ammonia	8.268855945	Post	2.112496161	2
E10	2°„C	2°„C	NONE		No Ammonia	13.112043	Post	2.573531121	2
E11	3°„C	3°„C	NONE		Ammonia	5.256629851	Post	1.659490109	3
E12	UR	0°„C	UR	UR	Ammonia	1.742366074	Post	0.555244002	0
F1	RU	0°„C	RU	RU	Ammonia	1.594707932	Post	0.466690605	0
F2	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	2.628314925	Post	0.966342928	4
F3	4°„C	4°„C	NONE	4°„C	Ammonia	2.421593527	Post	0.884425806	4
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1.506113047	Post	0.409532191	0
F5	CONTROL	0°„C	NONE	CONTROL	No Ammonia	1.919555844	Post	0.652093828	0
F6	5°„C	5°„C	NONE		Ammonia	4.577402398	Post	1.521131675	5
F7	8°„C	8°„C	NONE		Ammonia	12.61000532	Post	2.534490572	8
F8	2°„C	2°„C	NONE		No Ammonia	2.1853405	Post	0.781771652	2
F9	RU	0°„C	RU	RU	No Ammonia	2.214872128	Post	0.795194672	0
F10	6°„C	6°„C	NONE		Ammonia	2.037682358	Post	0.711813063	6
F11	CONTROL	0°„C	NONE	CONTROL	No Ammonia	3.307542378	Post	1.19620543	0
F12	2°„C	2°„C	NONE		Ammonia	4.104896344	Post	1.412180491	2
G1	2°„C	2°„C	NONE		No Ammonia	0.472506054	Post	-0.749704719	2
G2	1°„C	1°„C	NONE		Ammonia	4.252554486	Post	1.447519858	1
G3	2°„C	2°„C	NONE		No Ammonia	2.687378182	Post	0.988566065	2
G4	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	2.628314925	Post	0.966342928	4
G5	3°„C	3°„C	NONE		No Ammonia	2.598783297	Post	0.955043373	3
G6	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	3.248479121	Post	1.178186924	0
G7	RU	0°„C	RU	RU	Ammonia	6.142578702	Post	1.815244638	0
G8	CONTROL	0°„C	NONE	CONTROL	No Ammonia	3.366605635	Post	1.213905007	0
G9	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	1.240328392	Post	0.215376177	4
G10	2°„C	2°„C	NONE		No Ammonia	2.273935385	Post	0.82151198	2
G11	5°„C	5°„C	NONE		Ammonia	41.46240624	Post	3.724787143	5
G12	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	1.299391648	Post	0.261896192	4
H1	CONTROL	0°„C	NONE	CONTROL	Ammonia	18.48679936	Post	2.917056929	0
H2	UR+RU	0°„C	UR+RU	UR+RU	No Ammonia	4.518339141	Post	1.50814448	0
H3	8°„C	8°„C	NONE		No Ammonia	1.240328392	Post	0.215376177	8
H4	4°„C	4°„C	NONE	4°„C	No Ammonia	6.053983817	Post	1.800716537	4
H5	2°„C	2°„C	NONE		No Ammonia	29.26584372	Post	3.376421093	2
H6	UR	0°„C	UR	UR	Ammonia	2.953162837	Post	1.082876744	0
H7	7°„C	7°„C	NONE		Ammonia	8.446045715	Post	2.133698369	7
H8	4°„C	4°„C	NONE	4°„C	Ammonia	17.57131888	Post	2.866267964	4
H9	1°„C	1°„C	NONE		Ammonia	4.518339141	Post	1.50814448	1
H10	CONTROL	0°„C	NONE	CONTROL	Ammonia	3.868643317	Post	1.352903881	0
H11	4°„C	4°„C	NONE	4°„C	No Ammonia	9.391057823	Post	2.239757941	4
H12	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	8.564172228	Post	2.147587481	0
