Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
G5	3°„C	3°„C		No Ammonia	0.000386877	Post	3	-7.85740374491034
G8	CONTROL	CONTROL	CONTROL	No Ammonia	0.000509166	Post	0	-7.58273646491646
G10	2°„C	2°„C		No Ammonia	0.00032275	Post	2	-8.03863252823752
G11	5°„C	5°„C		Ammonia	0.000903243	Post	5	-7.00951893775897
H1	CONTROL	CONTROL	CONTROL	Ammonia	0.002773543	Post	0	-5.8876297147132
H3	8°„C	8°„C		No Ammonia	0.011873541	Post	8	-4.43344279976762
H4	4°„C	4°„C	4°„C	No Ammonia	0.011505829	Post	4	-4.4649015024627
H5	2°„C	2°„C		No Ammonia	0.011772289	Post	2	-4.44200689913311
H7	7°„C	7°„C		Ammonia	0	Post	7	-Inf
H8	4°„C	4°„C	4°„C	Ammonia	0.000102808	Post	4	-9.18264738695943
H9	1°„C	1°„C		Ammonia	0	Post	1	-Inf
H10	CONTROL	CONTROL	CONTROL	Ammonia	0	Post	0	-Inf
H11	4°„C	4°„C	4°„C	No Ammonia	0.007337334	Post	4	-4.91477971759321
