Ponds	Group	Temperature	Treatment	Ammonia	ATP	Dosing	Temp	lnATP
F11	CONTROL	CONTROL	CONTROL	No Ammonia	3.307542378	Post	0	1.1962054296233
F12	2°„C	2°„C		Ammonia	4.104896344	Post	2	1.41218049142845
G1	2°„C	2°„C		No Ammonia	0.472506054	Post	2	-0.749704719432009
G2	1°„C	1°„C		Ammonia	4.252554486	Post	1	1.44751985790421
G3	2°„C	2°„C		No Ammonia	2.687378182	Post	2	0.988566064798546
G5	3°„C	3°„C		No Ammonia	2.598783297	Post	3	0.955043372806416
G8	CONTROL	CONTROL	CONTROL	No Ammonia	3.366605635	Post	0	1.21390500679696
G10	2°„C	2°„C		No Ammonia	2.273935385	Post	2	0.821511980236865
G11	5°„C	5°„C		Ammonia	41.46240624	Post	5	3.72478714295014
H1	CONTROL	CONTROL	CONTROL	Ammonia	18.48679936	Post	0	2.91705692927955
H3	8°„C	8°„C		No Ammonia	1.240328392	Post	8	0.215376176813138
H4	4°„C	4°„C	4°„C	No Ammonia	6.053983817	Post	4	1.80071653748727
H5	2°„C	2°„C		No Ammonia	29.26584372	Post	2	3.37642109267101
H7	7°„C	7°„C		Ammonia	8.446045715	Post	7	2.13369836911846
H8	4°„C	4°„C	4°„C	Ammonia	17.57131888	Post	4	2.86626796369599
H9	1°„C	1°„C		Ammonia	4.518339141	Post	1	1.50814447963765
H10	CONTROL	CONTROL	CONTROL	Ammonia	3.868643317	Post	0	1.35290388149705
H11	4°„C	4°„C	4°„C	No Ammonia	9.391057823	Post	4	2.23975794108177
