Ponds	Group	Temperature	Ammonia	Apr12_W	Apr12_SW	Apr12_S	Apr12_Cellcount	May17_W	May17_SW	May17_S	May17_Cellcount	Apr12_percell	May17_percell
F11	CONTROL	0	No	0.206721399	5.315693107	33.96137263	159	0.236253027	3.307542378	156.5176304	46	0.001300135	0.005135935
F12	2°„C	2	Yes	0.502037682	1.624239561	193.4321658	301	0.620164196	4.104896344	200.8150729	720	0.001667899	0.000861339
G1	2°„C	2	No	0.35437954	1.683302817	1.476581419	14	0	0.472506054	206.7213986	26	0.025312824	0
G2	1°„C	1	Yes	0.265784655	3.573327033	20.67213986	135	0.708759081	4.252554486	190.479003	333	0.001968775	0.002128406
G3	2°„C	2	No	0.206721399	4.695528911	564.0541019	34	0.147658142	2.687378182	128.4625834	116	0.006080041	0.001272915
G4	RU+UR+4°„C		No	0.295316284	1.506113047	475.4592168	31	0.324847912	2.628314925	125.5094206	57	0.009526332	0.005699086
G5	3°„C	3	No	0.088594885	1.830960959	124.0328392	204	0.088594885	2.598783297	149.1347233	229	0.000434289	0.000386877
G6	RU+UR		No	0.17718977	2.155808871	2.953162837	18	1.210796763	3.248479121	156.5176304	44	0.009843876	0.027518108
G7	RURAL		Yes	0.206721399	2.244403756	615.7344516	23	4.459275884	6.142578702	308.6055165	134	0.008987887	0.033278178
G8	CONTROL	0	No	0.502037682	1.830960959	10.33606993	15	0.029531628	3.366605635	169.8068632	58	0.033469179	0.000509166
G9	RU+UR+4°„C		Yes	0.029531628	0.91548048	1413.088418	19	0.059063257	1.240328392	63.493001	25	0.001554296	0.00236253
G10	2°„C	2	No	1.653771189	1.890024216	335.183982	31	0.059063257	2.273935385	115.1733507	183	0.053347458	0.00032275
G11	5°„C	5	Yes	5.463351249	14.64768767	47.2506054	1083	2.421593527	41.46240624	2074.596893	2681	0.005044646	0.000903243
G12	RU+UR+4°„C		Yes	0.147658142	1.535644675	38.39111689	12	1.26986002	1.299391648	60.53983817	79	0.012304845	0.016074177
