Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP	Dosing	lnATP	Temp
B5	RU	0°„C	RU	RU	No Ammonia	0.00500983	Post	-5.296353297	0
B6	7°„C	7°„C	NONE		No Ammonia	0.00948013	Post	-4.65855725	7
B7	3°„C	3°„C	NONE		No Ammonia	0	Post	#NAME?	3
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	0	Post	#NAME?	0
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	0	Post	#NAME?	4
B10	8°„C	8°„C	NONE		No Ammonia	0.008829044	Post	-4.729708537	8
B11	2°„C	2°„C	NONE		Ammonia	0.000823181	Post	-7.102334454	2
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	0.005619926	Post	-5.181436782	0
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.008110799	Post	-4.814558895	0
C2	2°„C	2°„C	NONE		Ammonia	0.00020547	Post	-8.49021052	2
C3	4°„C	4°„C	NONE	4°„C	No Ammonia	0.002257195	Post	-6.093632387	4
C4	8°„C	8°„C	NONE		Ammonia	0.000615242	Post	-7.393494872	8
C5	2°„C	2°„C	NONE		Ammonia	0.002220778	Post	-6.109897694	2
C6	RU	0°„C	RU	RU	No Ammonia	0	Post	#NAME?	0
C7	2°„C	2°„C	NONE		No Ammonia	0.004543327	Post	-5.394095716	2
C8	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	0	Post	#NAME?	4
C9	UR	0°„C	UR	UR	No Ammonia	0.024702557	Post	-3.700848518	0
C10	4°„C	4°„C	NONE	4°„C	Ammonia	0.003815091	Post	-5.568790761	4
C11	7°„C	7°„C	NONE		No Ammonia	0.00402704	Post	-5.514723664	7
C12	RU	0°„C	RU	RU	Ammonia	0.003124507	Post	-5.768478768	0
D1	RU	0°„C	RU	RU	No Ammonia	0.000567916	Post	-7.473537038	0
D2	4°„C	4°„C	NONE	4°„C	Ammonia	0	Post	#NAME?	4
D3	6°„C	6°„C	NONE		Ammonia	0.00039384	Post	-7.839565823	6
D4	2°„C	2°„C	NONE		Ammonia	0.000244737	Post	-8.315326393	2
D5	UR	0°„C	UR	UR	Ammonia	0.004554629	Post	-5.391611201	0
D6	CONTROL	0°„C	NONE	CONTROL	No Ammonia	0.005906326	Post	-5.131731299	0
D7	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	0.00082799	Post	-7.096509481	4
D8	UR	0°„C	UR	UR	No Ammonia	0.013514474	Post	-4.30399402	0
D9	6°„C	6°„C	NONE		No Ammonia	0.002139973	Post	-6.146962067	6
D10	CONTROL	0°„C	NONE	CONTROL	Ammonia	0.006615085	Post	-5.018402632	0
D11	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	0.007218842	Post	-4.931060727	4
D12	4°„C	4°„C	NONE	4°„C	No Ammonia	0.080391655	Post	-2.520844902	4
E1	4°„C	4°„C	NONE	4°„C	No Ammonia	0.001169569	Post	-6.751119974	4
E2	7°„C	7°„C	NONE		Ammonia	0.009482633	Post	-4.658293259	7
E3	UR	0°„C	UR	UR	No Ammonia	0	Post	#NAME?	0
E4	4°„C	4°„C	NONE	4°„C	Ammonia	0	Post	#NAME?	4
E5	3°„C	3°„C	NONE		Ammonia	0.002595046	Post	-5.954151036	3
E6	RU	0°„C	RU	RU	Ammonia	0.001968775	Post	-6.230343757	0
E7	4°„C	4°„C	NONE	4°„C	Ammonia	0.017901412	Post	-4.022875687	4
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.012234532	Post	-4.403492834	0
E9	2°„C	2°„C	NONE		Ammonia	0.00283828	Post	-5.864557044	2
E10	2°„C	2°„C	NONE		No Ammonia	0.049043597	Post	-3.015045642	2
E11	3°„C	3°„C	NONE		Ammonia	0	Post	#NAME?	3
E12	UR	0°„C	UR	UR	Ammonia	0.034283844	Post	-3.373081056	0
F1	RU	0°„C	RU	RU	Ammonia	0.002700035	Post	-5.914490543	0
F2	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	0.003028885	Post	-5.799560714	4
F3	4°„C	4°„C	NONE	4°„C	Ammonia	0.004393135	Post	-5.427712184	4
F4	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	0.006948618	Post	-4.969212488	0
