Pond	Group	Temperature	Chemical	Treatment	Ammonia	ATP_max	Year	ATP
B6	7°„C	7°„C	NONE		No Ammonia	87	2021	2.569251668537
B7	3°„C	3°„C	NONE		No Ammonia	66	2021	1.94908747268324
B8	CONTROL	0°„C	NONE	CONTROL	Ammonia	194	2021	5.72913590455378
B9	4°„C	4°„C	NONE	4°„C	No Ammonia	82	2021	2.42159352666706
B10	8°„C	8°„C	NONE		No Ammonia	101	2021	2.98269446577284
B11	2°„C	2°„C	NONE		Ammonia	116	2021	3.42566889138267
B12	CONTROL	0°„C	NONE	CONTROL	Ammonia	96	2021	2.8350363239029
C1	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	68	2021	2.00815072943122
C2	2°„C	2°„C	NONE		Ammonia	59	2021	1.74236607406532
C3	4°„C	4°„C	NONE	4°„C	No Ammonia	97	2021	2.86456795227689
C4	8°„C	8°„C	NONE		Ammonia	80	2021	2.36253026991908
C5	2°„C	2°„C	NONE		Ammonia	111	2021	3.27801074951273
C6	RU	0°„C	RU	RU	No Ammonia	92	2021	2.71690981040695
C7	2°„C	2°„C	NONE		No Ammonia	129	2021	3.80958006024452
C8	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	103	2021	3.04175772252082
C9	UR	0°„C	UR	UR	No Ammonia	242	2021	7.14665406650523
C10	4°„C	4°„C	NONE	4°„C	Ammonia	357	2021	10.5427913295139
C11	7°„C	7°„C	NONE		No Ammonia	186	2021	5.49288287756187
C12	RU	0°„C	RU	RU	Ammonia	189	2021	5.58147776268383
D1	RU	0°„C	RU	RU	No Ammonia	86	2021	2.53972004016301
D2	4°„C	4°„C	NONE	4°„C	Ammonia	86	2021	2.53972004016301
D3	6°„C	6°„C	NONE		Ammonia	154	2021	4.54787076959424
D4	2°„C	2°„C	NONE		Ammonia	77	2021	2.27393538479712
D5	UR	0°„C	UR	UR	Ammonia	81	2021	2.39206189829307
D6	CONTROL	0°„C	NONE	CONTROL	No Ammonia	136	2021	4.01630145886244
D7	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	No Ammonia	107	2021	3.15988423601677
D8	UR	0°„C	UR	UR	No Ammonia	311	2021	9.18433642431044
D9	6°„C	6°„C	NONE		No Ammonia	122	2021	3.6028586616266
D10	CONTROL	0°„C	NONE	CONTROL	Ammonia	142	2021	4.19349122910637
D11	UR+RU+4°„C	4°„C	UR+RU	UR+RU+4°„C	Ammonia	118	2021	3.48473214813065
D12	4°„C	4°„C	NONE	4°„C	No Ammonia	306	2021	9.03667828244049
E1	4°„C	4°„C	NONE	4°„C	No Ammonia	77	2021	2.27393538479712
E2	7°„C	7°„C	NONE		Ammonia	80	2021	2.36253026991908
E3	UR	0°„C	UR	UR	No Ammonia	185	2021	5.46335124918788
E4	4°„C	4°„C	NONE	4°„C	Ammonia	51	2021	1.50611304707342
E5	3°„C	3°„C	NONE		Ammonia	93	2021	2.74644143878093
E6	RU	0°„C	RU	RU	Ammonia	144	2021	4.25255448585435
E7	4°„C	4°„C	NONE	4°„C	Ammonia	82	2021	2.42159352666706
E8	UR+RU	0°„C	UR+RU	UR+RU	Ammonia	1900	2021	56.1100939105782
E9	2°„C	2°„C	NONE		Ammonia	107	2021	3.15988423601677
E10	2°„C	2°„C	NONE		No Ammonia	407	2021	12.0193727482133
